AssetGroup,Reference,AssetLinkage,MatchedEffectLinkage,TemplateName
Lich25,a4,Lich25a4,,Lich25 A4
Lich25,aa,Lich25aa,,Lich25 AA
Lich25,p1,Lich25p1,,Lich25 P1
lightc,a1,lightc1,sp_lightc1,lightc A1
lightc,a2,lightc2,sp_lightc2,lightc A2
lightc,a3,lightc3,sp_lightc3,lightc A3
lightc,a4,lightc4,sp_lightc4,lightc A4
LoO,a1,LoO1,,LoO A1
LoO,a2,LoO2,,LoO A2
LoO,a3,LoO3,,LoO A3
LoO,a4,LoO4,,LoO A4
LoO,aa,LoOaa,,LoO AA
LR,a1,LR1,,LR A1
LR,a2,LR2,,LR A2
LR,a3,LR3,,LR A3
LR,a4,LR4,,LR A4
LR,aa,LRaa,,LR AA
LR,p2,LRp2,,LR P2
MaAt,a1,MaAta1,sp_MaAta1,MaAt A1
MaAt,a2,MaAta2,sp_MaAta2,MaAt A2
MaAt,a3,MaAta3,sp_MaAta3,MaAt A3
MaAt,a4,MaAta4,sp_MaAta4,MaAt A4
MaAt,aa,MaAtaa,,MaAt AA
MaAt,p1,MaAtp1,,MaAt P1
mog,a1,mogA1,,mog A1
mog,a2,mogA2,,mog A2
mog,a3,mogA3,,mog A3
mog,a4,mogA4,sp_moga4,mog A4
mog,aa,mogAA,,mog AA
mog,p1,mogP1,,mog P1
mog,p2,mogP2,,mog P2
newlegiondk,a1,newlegiondk1,,newlegiondk A1
newlegiondk,a2,newlegiondk2,,newlegiondk A2
newlegiondk,a3,newlegiondk3,,newlegiondk A3
newlegiondk,a4,newlegiondk4,,newlegiondk A4
NotAMod,a1,NotAModa1,,NotAMod A1
NotAMod,a2,NotAModa2,,NotAMod A2
NotAMod,a3,NotAModa3,,NotAMod A3
NotAMod,a4,NotAModa4,sp_NotAModa4,NotAMod A4
NotAMod,aa,NotAModaa,,NotAMod AA
NotAMod,p1,NotAModp1,,NotAMod P1
PallyCh,a1,PallyChA1,,PallyCh A1
PallyCh,a2,PallyChA2,,PallyCh A2
PallyCh,a3,PallyChA3,,PallyCh A3
PallyCh,a4,PallyChA4,,PallyCh A4
PallyCh,aa,PallyChAA,,PallyCh AA
PallyCh,p1,PallyChP1,,PallyCh P1
PallyCh,p2,PallyChP2,,PallyCh P2
PhanCh,a1,PhanCha1,sp_PhanCha1,PhanCh A1
PhanCh,a2,PhanCha2,sp_PhanCha2,PhanCh A2
PhanCh,a3,PhanCha3,sp_PhanCha3,PhanCh A3
PhanCh,a4,PhanCha4,sp_PhanCha4,PhanCh A4
PhanCh,aa,PhanChaa,sp_PhanChaa,PhanCh AA
PhanCh,p1,PhanChp1,,PhanCh P1
PSlayer,a1,PSlayera1,sp_pslayera1,PSlayer A1
PSlayer,a2,PSlayera2,sp_pslayera2,PSlayer A2
PSlayer,a3,PSlayera3,sp_pslayera3,PSlayer A3
PSlayer,a4,PSlayera4,sp_pslayera4,PSlayer A4
PSlayer,aa,PSlayeraa,sp_pslayeraa,PSlayer AA
PSlayer,p1,PSlayerp1,,PSlayer P1
quantum,a1,quantuma1,,quantum A1
quantum,a2,quantuma2,,quantum A2
quantum,a3,quantuma3,,quantum A3
quantum,a4,quantuma4,,quantum A4
quantum,aa,quantumaa,,quantum AA
quantum,p1,quantumpassive,,quantum P1
shadnec,a1,shadneca1,,shadnec A1
shadnec,a2,shadneca2,,shadnec A2
shadnec,a3,shadneca3,,shadnec A3
shadnec,a4,shadneca4,,shadnec A4
shadnec,aa,shadnecaa,,shadnec AA
shadnec,p1,shadnecp1,,shadnec P1
shadw,a1,shadw1,sp_shadw1,shadw A1
shadw,a2,shadw2,sp_shadw2,shadw A2
shadw,a3,shadw3,sp_shadw3,shadw A3
shadw,a4,shadw4,sp_shadw4,shadw A4
shadw,aa,shadwaa,sp_shadwaa,shadw AA
SoF,a1,SoFa1,sp_sofa1,SoF A1
SoF,a2,SoFa2,sp_sofa2,SoF A2
SoF,a3,SoFa3,sp_sofa3,SoF A3
SoF,a4,SoFa4,sp_sofa4,SoF A4
SoF,aa,SoFaa,,SoF AA
SoF,p1,SoFp1,,SoF P1
SoS,a1,SoSa1,,SoS A1
SoS,a2,SoSa2,,SoS A2
SoS,a3,SoSa3,,SoS A3
SoS,a4,SoSa4,,SoS A4
SoS,aa,SoSaa,,SoS AA
SoS,p1,SoSp1,,SoS P1
ssg,a1,ssga1,,ssg A1
ssg,a2,ssga2,,ssg A2
ssg,a3,ssga3,,ssg A3
ssg,a4,ssga4,,ssg A4
ssg,aa,ssgaa,,ssg AA
ssg,p1,ssgp1,,ssg P1
ssg,p2,ssgp2,,ssg P2
ssg,p3,ssgp3,,ssg P3
ssorc,a1,ssorc1,sp_ssorc1,ssorc A1
ssorc,a2,ssorc2,sp_ssorc2,ssorc A2
ssorc,a3,ssorc3,sp_ssorc3,ssorc A3
ssorc,a4,ssorc4,sp_ssorc4,ssorc A4
ssorc,aa,ssorcaa,sp_ssorcaa,ssorc AA
than_,a1,than_a1,,than A1
Than_,a2,Than_a2,,Than A2
Than_,a3,Than_a3,,Than A3
Than_,p2,Than_p2,,Than P2
uchrono,a1,uchronoA1,,uchrono A1
uchrono,a2,uchronoA2,,uchrono A2
uchrono,a3,uchronoA3,,uchrono A3
uchrono,a4,uchronoA4,,uchrono A4
uchrono,aa,uchronoAA,,uchrono AA
UUG25,a1,UUG25a1,,UUG25 A1
UUG25,a2,UUG25a2,,UUG25 A2
UUG25,a3,UUG25a3,sp_UUG25a3,UUG25 A3
UUG25,a4,UUG25a4,sp_UUG25a4,UUG25 A4
UUG25,aa,UUG25aa,,UUG25 AA
UUG25,p1,UUG25p1,,UUG25 P1
vamplord,a1,vamplorda1,sp_vamplorda1,vamplord A1
vamplord,a2,vamplorda2,,vamplord A2
vamplord,a3,vamplorda3,sp_vamplorda3,vamplord A3
vamplord,a4,vamplorda4,,vamplord A4
vamplord,aa,vamplordaa,sp_vamplordaa,vamplord AA
vdmk,a1,vdmka1,,vdmk A1
vdmk,a2,vdmka2,,vdmk A2
vdmk,a3,vdmka3,,vdmk A3
vdmk,a4,vdmka4,,vdmk A4
vdmk,aa,vdmkaa,,vdmk AA
Verus,a1,Verusa1,,Verus A1
Verus,a2,Verusa2,,Verus A2
Verus,a3,Verusa3,,Verus A3
Verus,aa,Verusaa,,Verus AA
Voidh,a1,Voidha1,sp_voidha1,Voidh A1
Voidh,a2,Voidha2,sp_voidha2,Voidh A2
Voidh,a3,Voidha3,sp_voidha3,Voidh A3
Voidh,a4,Voidha4,sp_voidha4,Voidh A4
Voidh,aa,Voidhaa,sp_voidhaa,Voidh AA
yami,a1,yamia1,,yami A1
yami,a2,yamia2,,yami A2
yami,a3,yamia3,,yami A3
yami,a4,yamia4,,yami A4
yami,aa,yamiaa,,yami AA
